2025-01-21,30
2025-01-28,30
2025-02-04,30
2025-02-11,30
2025-02-18,30
2025-02-25,31
2025-03-04,30
2025-03-11,30
2025-03-18,29
2025-03-25,29
2025-04-01,28
2025-04-08,28
2025-04-15,27
2025-04-22,27
2025-04-29,27
2025-05-06,28
2025-05-13,28
2025-05-20,29
2025-05-27,29
2025-06-03,30
2025-06-10,30
2025-06-17,30
2025-06-24,29
2025-07-01,27
2025-07-08,27
2025-07-15,27
2025-07-22,27
2025-07-29,28
2025-08-05,29
2025-08-12,32
2025-08-19,31
2025-08-26,31
2025-09-02,30
2025-09-09,28
2025-09-16,27
2025-09-23,28
2025-09-30,28
2025-10-07,28
2025-10-14,29
2025-10-21,30
2025-10-28,30
2025-11-04,31
2025-11-11,31
2025-11-18,32
2025-11-25,31
2025-12-02,29
2025-12-09,28
2025-12-16,28
2025-12-23,29
2025-12-30,30
2026-01-06,28
2026-01-13,28
2026-01-20,29
